trajectory,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
BASELINE sin afinar,99,22.8110599078341,-14.174445366563463,-58.759002058422304,100.03850852365035,148.6914415848693,-28.99298093425563,-162.86202777319784,3.730529631695845e-05,0.19603849553988084,0.1396710434688373,6.280785475337751,3.6180591659309833,6.277941381252816,9.592137686425602
BASELINE sin afinar,100,23.04147465437788,-14.174479268724864,-58.580846960525356,100.16543822872713,154.39926926507573,-32.2809866044087,-168.56727080869592,3.390216140175539e-05,0.17815509789694772,0.12692970507677614,5.707827680206435,3.2880056701530727,5.705243035498086,8.717105402487448
BASELINE sin afinar,101,23.27188940092166,-14.17450976775136,-58.42057526027132,100.27962659541176,159.53413915015116,-35.238938778784025,-173.69981549843965,3.0499026495434123e-05,0.16027170025403592,0.11418836668462973,5.134869885075432,2.957952174375322,5.132544689743725,7.8420731185498
BASELINE sin afinar,102,23.502304147465438,-14.17453686364294,-58.278186957660196,100.38107362370428,164.0960512400958,-37.86683745738171,-178.25966184242907,2.709589158023107e-05,0.14238830261112412,0.10144702829252594,4.561912089944627,2.6278986785976883,4.55984634398942,6.967040834612365
BASELINE sin afinar,103,23.732718894009217,-14.17456055639961,-58.153682052691984,100.46977931360466,168.08500553490967,-40.16468264020181,-182.2468098406644,2.3692756670357085e-05,0.12450490496821232,0.08870568990037953,3.9889542948138796,2.2978451828200974,3.9871479982353435,6.092008550675132
BASELINE sin afinar,104,23.963133640552996,-14.17458084602137,-58.04706054536669,100.54574366511298,171.50100203459283,-42.1324743272443,-185.6612594931456,2.0289621758706744e-05,0.10662150732529341,0.07596435150831837,3.4159964996831604,1.9677916870424923,3.4144496524811814,5.216976266737857
BASELINE sin afinar,105,24.193548387096776,-14.174597732508216,-57.95832243568429,100.60896667822915,174.34404073914519,-43.77021251850913,-188.50301079987253,1.6886486847056403e-05,0.08873810968240292,0.06322301311617196,2.843038704552356,1.6377381912648303,2.841751306726934,4.341943982800449
BASELINE sin afinar,106,24.42396313364055,-14.17461121586015,-57.88746772364481,100.65944835295322,176.6141216485666,-45.077897213996295,-190.77206376084516,1.3483351933629706e-05,0.07085471203947691,0.05048167472406817,2.2700809094214094,1.3076846954871613,2.2690529609726298,3.4669116988629067
BASELINE sin afinar,107,24.65437788018433,-14.174621296077172,-57.83449640924825,100.69718868928517,178.31124476285723,-46.055528413705815,-192.4684183760635,1.0080217021979365e-05,0.052971314396558,0.037740336331950175,1.6971231142906333,0.9776311997095206,1.696354615218354,2.591879414925506
BASELINE sin afinar,108,24.88479262672811,-14.174627973159284,-57.799408492494614,100.72218768722502,179.435410082017,-46.70310611763768,-193.59207464552765,6.677082112105381e-06,0.03508791675363909,0.02499899793984639,1.124165319159772,0.6475777039318658,1.123656269464135,1.7168471309880815
