condition,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
KRL,97,20.082815734989648,-1.253521,-80.059334,104.142868,0.010134,65.498299,-1.327615,0.08189200000000008,0.670386999999991,0.9183040000000062,0.0005660000000000005,1.5677259999999933,0.07974100000000006,1.939982222692254
KRL,98,20.28985507246377,-1.332854,-79.409897,105.061172,0.0107,63.930565,-1.407357,0.07933299999999988,0.649437000000006,0.918303999999992,0.0005659999999999988,1.5677340000000015,0.07974199999999998,1.932742450496185
KRL,99,20.496894409937887,-1.412187,-78.76046,105.979477,0.011266,62.362835,-1.487098,0.0793330000000001,0.649437000000006,0.9183050000000037,0.0005660000000000005,1.5677300000000045,0.07974100000000006,1.9327396397911512
KRL,100,20.70393374741201,-1.555499,-77.587288,107.638344,0.012289,59.480236,-1.63372,0.14331199999999988,1.1731719999999939,1.6588670000000008,0.0010229999999999996,2.882598999999999,0.14662200000000003,3.5326458422591673
KRL,101,20.910973084886127,-1.637391,-76.916901,108.586273,0.012873,57.912506,-1.713462,0.08189200000000008,0.6703870000000052,0.947929000000002,0.0005840000000000012,1.5677299999999974,0.07974199999999998,1.9541829236266504
KRL,102,21.11801242236025,-1.719284,-76.246513,109.534195,0.013457,56.294205,-1.795776,0.081893,0.6703880000000026,0.9479219999999913,0.0005839999999999995,1.6183010000000024,0.082314,1.995083134691383
KRL,103,21.32505175983437,-1.798617,-75.576126,110.482124,0.014042,54.675903,-1.87809,0.07933299999999988,0.670386999999991,0.947929000000002,0.0005850000000000005,1.618302,0.082314,1.9949834945993894
KRL,104,21.532091097308488,-1.941929,-74.423904,112.111366,0.015046,51.894444,-2.019567,0.1433120000000001,1.152222000000009,1.629242000000005,0.0010039999999999997,2.781458999999998,0.14147699999999985,3.429156496781392
KRL,105,21.73913043478261,-2.023821,-73.753517,113.059296,0.015631,50.276146,-2.10188,0.08189199999999985,0.670386999999991,0.9479299999999995,0.0005849999999999987,1.618298000000003,0.08231300000000008,1.9950840842758975
KRL,106,21.946169772256727,-2.103154,-73.10408,113.977592,0.016197,48.708981,-2.181529,0.0793330000000001,0.649437000000006,0.918295999999998,0.0005660000000000005,1.5671649999999957,0.07964899999999986,1.9322733000939567
KRL,107,22.15320910973085,-2.136204,-72.854477,114.300911,0.016378,48.257603,-2.20198,0.033050000000000246,0.24960299999999336,0.3233189999999979,0.0001810000000000006,0.4513779999999983,0.020450999999999997,0.6099914023295687
KRL,108,22.36024844720497,-2.136204,-72.853905,114.301376,0.016378,48.256226,-2.20198,0.0,0.000572000000005346,0.0004650000000054888,0.0,0.0013770000000050686,0.0,0.001561902045592226
KRL,109,22.56728778467909,-2.136204,-72.848267,114.305664,0.016381,48.245049,-2.201985,0.0,0.005637999999990484,0.004287999999988301,2.999999999999531e-06,0.01117699999999644,5.000000000254801e-06,0.01323251113733568
KRL,110,22.77432712215321,-2.136204,-72.83004,114.319267,0.016389,48.210899,-2.201998,0.0,0.018227000000010207,0.013603000000003362,8.000000000001062e-06,0.0341500000000039,1.3000000000040757e-05,0.04103032867283334
KRL,111,22.981366459627328,-2.136204,-72.793343,114.346329,0.016407,48.141052,-2.202026,0.0,0.036697000000003754,0.027062000000000808,1.8000000000000654e-05,0.06984699999999577,2.799999999991698e-05,0.08341238619053964
KRL,112,23.18840579710145,-2.136204,-72.660507,114.442848,0.016467,47.906395,-2.202117,0.0,0.1328359999999975,0.09651900000000069,5.9999999999997555e-05,0.23465699999999856,9.099999999984121e-05,0.28640048845453947
KRL,113,23.39544513457557,-2.136204,-72.535316,114.532196,0.016523,47.686459,-2.202204,0.0,0.12519100000000094,0.0893480000000011,5.6000000000000494e-05,0.21993600000000413,8.700000000017027e-05,0.26837978013628794
KRL,114,23.60248447204969,-2.136204,-72.385269,114.636803,0.016591,47.431065,-2.202304,0.0,0.1500470000000007,0.10460700000000145,6.800000000000209e-05,0.25539400000000256,9.999999999976694e-05,0.31413824427790044
